userId,fullVisitorId,visitId,visitNumber,f0_,visits,hits,pageviews,time_on_site,total_transactions,total_revenue,product_category,product_name,product_sku,product_price_valid,product_quantity,product_revenue,socialEngagementType
,160370198171303042,1500679118,2,date,1,46,31,1692,1,52.43,Office,Switch Tone Color Crayon Pen,GGOEGKAA019299,2.865,1,2.865,Not Socially Engaged
,160370198171303042,1500679118,2,date,1,46,31,1692,1,52.43,Lifestyle,Google Sunglasses,GGOEGHGR019499,4.375,1,4.375,Not Socially Engaged
,160370198171303042,1500679118,2,date,1,46,31,1692,1,52.43,Lifestyle,Google Sunglasses,GGOEGHGT019599,4.375,1,4.375,Not Socially Engaged
,160370198171303042,1500679118,2,date,1,46,31,1692,1,52.43,Office,Rubber Grip Ballpoint Pen 4 Pack,GGOEGOAA017199,4.365,1,4.365,Not Socially Engaged
,160370198171303042,1500679118,2,date,1,46,31,1692,1,52.43,Office,Badge Holder,GGOEGOXQ016399,2.2816666666666667,3,6.845,Not Socially Engaged
,160370198171303042,1500679118,2,date,1,46,31,1692,1,52.43,Apparel,Google Women's Short Sleeve Hero Tee Red Heather,GGOEGAER029717,19.865,1,19.865,Not Socially Engaged
,7880178108492772399,1500668164,2,date,1,49,37,1338,1,99.55,Office,Waterproof Gear Bag,GGOEGBMC056599,40.59,1,40.59,Not Socially Engaged
,7880178108492772399,1500668164,2,date,1,49,37,1338,1,99.55,Drinkware,Android 17oz Stainless Steel Sport Bottle,GGOEADHH073999,13.59,2,27.18,Not Socially Engaged
,7880178108492772399,1500668164,2,date,1,49,37,1338,1,99.55,Lifestyle,Android Lunch Kit,GGOEACCQ017299,9.29,2,18.58,Not Socially Engaged
,7880178108492772399,1500668164,2,date,1,49,37,1338,1,99.55,Apparel,Google Women's Scoop Neck Tee White,GGOEGALQ036615,6.6,1,6.6,Not Socially Engaged
,7880178108492772399,1500668164,2,date,1,49,37,1338,1,99.55,Apparel,Google Women's Scoop Neck Tee Black,GGOEGALB036515,6.6,1,6.6,Not Socially Engaged
,9905174730865679854,1500675274,6,date,1,53,33,1018,1,58.43,Apparel,Google Twill Cap,GGOEGHPB071610,12.39,1,12.39,Not Socially Engaged
,9905174730865679854,1500675274,6,date,1,53,33,1018,1,58.43,Lifestyle,Google Sunglasses,GGOEGHGC019799,4.9,1,4.9,Not Socially Engaged
,9905174730865679854,1500675274,6,date,1,53,33,1018,1,58.43,Apparel,Google Women's Short Sleeve Hero Tee Red Heather,GGOEGAER029715,20.39,1,20.39,Not Socially Engaged
,9905174730865679854,1500675274,6,date,1,53,33,1018,1,58.43,Office,Pen Pencil & Highlighter Set,GGOEGOAQ018099,5.39,1,5.39,Not Socially Engaged
,9905174730865679854,1500675274,6,date,1,53,33,1018,1,58.43,Office,Rubber Grip Ballpoint Pen 4 Pack,GGOEGOAA017199,3.84,4,15.36,Not Socially Engaged
,9905174730865679854,1500670246,5,date,1,55,43,2797,1,92.48,Lifestyle,Google Executive Umbrella,GGOEGCVB072399,24.89,1,24.89,Not Socially Engaged
,9905174730865679854,1500670246,5,date,1,55,43,2797,1,92.48,Headgear,Google Blackout Cap,GGOEGHPJ080310,13.69,1,13.69,Not Socially Engaged
,9905174730865679854,1500670246,5,date,1,55,43,2797,1,92.48,Electronics,Basecamp Explorer Powerbank Flashlight,GGOEGESB015099,11.9,1,11.9,Not Socially Engaged
,9905174730865679854,1500670246,5,date,1,55,43,2797,1,92.48,Apparel,Google Women's Convertible Vest-Jacket Sea Foam Green,GGOEGATH060716,30.1,1,30.1,Not Socially Engaged
,9905174730865679854,1500670246,5,date,1,55,43,2797,1,92.48,Lifestyle,Yoga Mat Blue,GGOEGBRC021399,11.9,1,11.9,Not Socially Engaged
,1712066703099487652,1500698268,11,date,1,66,56,3078,1,66.78,Lifestyle,Google Kick Ball,GGOEGFSR022099,1.875714,1,1.875714,Not Socially Engaged
,1712066703099487652,1500698268,11,date,1,66,56,3078,1,66.78,Apparel,Android Men's Long & Lean Badge Tee Charcoal,GGOEAAAJ032916,5.085714,1,5.085714,Not Socially Engaged
,1712066703099487652,1500698268,11,date,1,66,56,3078,1,66.78,Apparel,Android Men's Long & Lean Badge Tee Charcoal,GGOEAAAJ032914,5.085714,1,5.085714,Not Socially Engaged
,1712066703099487652,1500698268,11,date,1,66,56,3078,1,66.78,Bags,Google Canvas Tote Natural/Navy,GGOEGBJL013999,13.075714,1,13.075714,Not Socially Engaged
,1712066703099487652,1500698268,11,date,1,66,56,3078,1,66.78,Apparel,Android Women's Long Sleeve Blended Cardigan Grey,GGOEAAEJ030913,12.285714,1,12.285714,Not Socially Engaged
,1712066703099487652,1500698268,11,date,1,66,56,3078,1,66.78,Apparel,Android Men's Long & Lean Badge Tee Charcoal,GGOEAAAJ032917,5.085714,1,5.085714,Not Socially Engaged
,1712066703099487652,1500698268,11,date,1,66,56,3078,1,66.78,Apparel,Android Women's Long Sleeve Blended Cardigan Grey,GGOEAAEJ030914,12.142857,2,24.285714,Not Socially Engaged
,746996333765865062,1500674722,2,date,1,75,58,3216,1,19.99,Apparel,Google Men's Bike Short Sleeve Tee Charcoal,GGOEGAAJ080613,19.99,1,19.99,Not Socially Engaged
,4640309372934566564,1500662800,3,date,1,81,60,2453,1,53.78,Lifestyle,Windup Android,GGOEAKDH019899,4.856666,1,4.856666,Not Socially Engaged
,4640309372934566564,1500662800,3,date,1,81,60,2453,1,53.78,Waze,Waze Mood Ninja Window Decal,GGOEWFKA083299,3.256666,1,3.256666,Not Socially Engaged
,4640309372934566564,1500662800,3,date,1,81,60,2453,1,53.78,Apparel,Google Men's Watershed Full Zip Hoodie Grey,GGOEGADJ056814,45.666666,1,45.666666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Drinkware,Google 22 oz Water Bottle,GGOEGDHC018299,3.0066666666666668,60,180.4,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Lifestyle,Google Kick Ball,GGOEGFSR022099,2.19,5,10.95,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Lifestyle,7&quot; Dog Frisbee,GGOEGPJR018999,1.7,5,8.5,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Office,Recycled Paper Journal Set,GGOEGOCR017899,4.09,10,40.9,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Bags,Collapsible Shopping Bag,GGOEGBJC019999,5.49,2,10.98,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Bags,Electronics Accessory Pouch,GGOEGBFC018799,5.49,2,10.98,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Apparel,Google Men's Vintage Badge Tee Black,GGOEGAAB033817,10.49,1,10.49,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Drinkware,Google 22 oz Water Bottle,GGOEGDHC018299,2.9921212090909091,220,658.266666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Lifestyle,Google Kick Ball,GGOEGFSR022099,2.0211110666666667,15,30.316666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Lifestyle,7&quot; Dog Frisbee,GGOEGPJC019099,1.5311110666666667,15,22.966666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Office,Recycled Paper Journal Set,GGOEGOCR017899,4.0055555333333333,30,120.166666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Bags,Collapsible Shopping Bag,GGOEGBJC019999,5.1066665,4,20.426666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Bags,Electronics Accessory Pouch,GGOEGBFC018799,5.223333,2,10.446666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Apparel,Google Men's Vintage Badge Tee Black,GGOEGAAB033815,9.723333,2,19.446666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Apparel,Google Men's Vintage Badge Tee Black,GGOEGAAB033817,9.6455553333333324,3,28.936666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Bags,Google Rucksack,GGOEGBRJ037399,70.456666,1,70.456666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Office,8 pc Android Sticker Sheet,GGOEAFKQ020499,2.0566665714285715,7,14.396666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Office,Google Laptop and Cell Phone Stickers,GGOEGFKQ020399,3.1455553333333337,3,9.436666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Lifestyle,Google Sunglasses,GGOEGHGC019799,3.733333,2,7.466666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Bags,Google Tote Bag,GGOEGBJC014399,10.223333,2,20.446666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Bags,Google Slim Utility Travel Bag,GGOEGBPB021199,10.723333,2,21.446666,Not Socially Engaged
,9417857471295131045,1500657634,10,date,1,128,76,2041,2,1337.28,Bags,Google Canvas Tote Natural/Navy,GGOEGBJL013999,16.456666,1,16.456666,Not Socially Engaged
,072871522029318255,1485327451,3,date,1,4,4,77,1,7.98,Waze,Waze Mood Original Window Decal,GGOEWFKA083199,3.99,2,7.98,Not Socially Engaged
,7474545646288919609,1485314520,2,date,1,9,9,285,1,15.99,Waze,Waze Mobile Phone Vent Mount,GGOEWEBB082699,15.99,1,15.99,Not Socially Engaged
,3081808777530081945,1485292952,1,date,1,11,11,2457,1,11.99,Waze,Waze Mobile Phone Vent Mount,GGOEWEBB082699,11.99,1,11.99,Not Socially Engaged
,9059252837997508617,1485318493,1,date,1,14,14,616,1,19.99,Drinkware,Red Shine 15 oz Mug,GGOEGDWR015799,19.99,1,19.99,Not Socially Engaged
,2838394030048546223,1485283949,4,date,1,14,12,240,1,202.9,Drinkware,26 oz Double Wall Insulated Bottle,GGOEGDHQ015399,20.29,10,202.9,Not Socially Engaged
,2262018521556676288,1485292180,1,date,1,14,12,480,1,8.99,Waze,Waze Mobile Phone Vent Mount,GGOEWEBB082699,8.99,1,8.99,Not Socially Engaged
